Company,Role(s),Location Type,Location,Salary,Contact Email,Apply URL,HN Comment,HN Poster,HN Profile,Poster Info,Description
Shepherd Insurance,"Founding ML Engineer; Founding Applied AI Engineer",SF Bay Area,"San Francisco, CA (onsite)",Not stated,,https://shepherdinsurance.com/careers,https://news.ycombinator.com/item?id=47975619,shepherd-eng,https://news.ycombinator.com/user?id=shepherd-eng,No profile info,"AI-native commercial insurance platform with fully autonomous underwriting pipeline. $42M Series B."
Foxglove,Senior ML Engineer,SF Bay Area / Remote,"San Francisco (onsite preferred) + Remote",Not stated,adrian@foxglove.dev,https://foxglove.dev/careers,https://news.ycombinator.com/item?id=47977183,amacneil,https://news.ycombinator.com/user?id=amacneil,"Adrian MacNeil — adrian@foxglove.dev","Leading data infrastructure & observability platform for robotics and physical AI."
VLM Run,"ML Staff Engineer; Product Engineer",SF Bay Area,"Santa Clara, CA",Not stated,,https://vlm.run,https://news.ycombinator.com/item?id=47981876,fzysingularity,https://news.ycombinator.com/user?id=fzysingularity,"computer-vision, ml and all things meta","Inference and orchestration layer for production Vision-Language Models. Fast visual inference, structured outputs, observability."
Engineering Square,AI Engineer,SF Bay Area,"Bay Area, CA (onsite)",Not stated,saikumar@engineeringsquare.us,Email above,https://news.ycombinator.com/item?id=47975744,ESqHiring,https://news.ycombinator.com/user?id=ESqHiring,No profile info,"RAG pipelines, agentic workflows, GPU-optimized model deployment, MLOps (distillation, fine-tuning, training orchestration). 3–12 yrs production AI/ML required."
Matterhaul,Founding Applied AI Engineer,SF Bay Area,"SF, SoMa (onsite 4 days/week)",Not stated,britta.dance@matterhaul.com,https://matterhaul.com,https://news.ycombinator.com/item?id=47977906,sdemjanenko,https://news.ycombinator.com/user?id=sdemjanenko,No profile info,"AI-native ERP for the $2T physical goods supply chain. Unified data layer and agents cut customer quote times by 40%."
Espresso AI,Staff ML Engineer,SF Bay Area,SF or Brooklyn,Not stated,ben@espresso.ai,Email above,https://news.ycombinator.com/item?id=47978910,karamazov,https://news.ycombinator.com/user?id=karamazov,"Ben — ben@espresso.ai","Using LLMs to build neural optimizers, neural scheduling systems, and workload tuners for data warehouses and Spark jobs."
Uncountable,LLM Applications Engineer,SF Bay Area,"SF (or NY, London, Munich — all in-person)",$130K base,jason@uncountable.com,https://www.uncountable.com/hiring/hn,https://news.ycombinator.com/item?id=47978287,jhirshman,https://news.ycombinator.com/user?id=jhirshman,"Jason Hirshman, Co-Founder — jason@uncountable.com | linkedin.com/in/jasonhirshman","Accelerates R&D for industrial scientists (materials, chemicals, life sciences). Building LLM apps and infra to help scientists design experiments and analyze results."
Factory AI,"AI Engineer; Data Engineer",SF Bay Area,"SF (or NY, London)",$150K+ (implied),,https://factory.ai/careers,https://news.ycombinator.com/item?id=47978246,favoboa,https://news.ycombinator.com/user?id=favoboa,No profile info,"Building ""Droids"" — autonomous software development agents that review PRs, implement features, run tests, fix incidents."
Kinelo,Engineering — AI agent context management,SF Bay Area,"SF (onsite, flexible)",Not stated,"jobs@kinelo.com; keith@kinelo.com",https://job-boards.greenhouse.io/kinelo/jobs/4205846009,https://news.ycombinator.com/item?id=47978064,deet,https://news.ycombinator.com/user?id=deet,"Keith — ex-Apple AI/ML, second-time founder. keith@kinelo.com","Solves ""context myopia"" for AI agents. Building tools so agents can accurately search and retrieve background information."
COVU,Data Engineer,SF Bay Area / Remote,"SF (hybrid) or Remote (US)",Not stated,,https://www.covu.com/careers,https://news.ycombinator.com/item?id=47981106,sakchhamcovu,https://news.ycombinator.com/user?id=sakchhamcovu,No profile info,"AI-first insurtech rebuilding insurance distribution. $16M raised. Building AI agents and data infrastructure for enterprise insurance."
Hyperspell,Engineering — Context & Memory for AI agents,SF Bay Area,SF (onsite),$150K–$220K + equity,founders@hyperspell.com,https://jobs.ashbyhq.com/hyperspell,https://news.ycombinator.com/item?id=47980487,maebert,https://news.ycombinator.com/user?id=maebert,"Founder, Hyperspell. Designer, Engineer, Ex-Neuroscientist, Nomad.","Context and memory layer for AI agents. Uses Claude and other LLMs to reason across long contexts."
Fathom,AI team positions,SF Bay Area,"SF (AI team hybrid; engineering remote)",Not stated,madigan.ford@fathom.video,https://jobs.ashbyhq.com/fathom.video,https://news.ycombinator.com/item?id=47977154,madiganf,https://news.ycombinator.com/user?id=madiganf,"Madigan Ford, Recruiting @ Fathom Video — madigan.ford@fathom.video","AI meeting notetaker. YC W'21, ~100 employees. Mention HN when applying."
River,"Senior/Staff Machine Learning Engineer",Remote (SF/NYC also option),"Remote (US, Europe, South America) or SF/NYC",$200K–$250K + equity,,https://jobs.ashbyhq.com/river?utm_source=Zp9nJyqvd4,https://news.ycombinator.com/item?id=47977581,leishman,https://news.ycombinator.com/user?id=leishman,No profile info,"Scaling ML/AI systems to automate operations and tackle fraud/risk. Stack: Python, PyTorch, XGBoost, LLMs."
Cloudflare Workers AI,"Senior/Principal ML Engineer (Workers AI)",SF Bay Area / Remote,"SF hybrid (also Austin TX, London UK)",Not stated,,https://job-boards.greenhouse.io/cloudflare/jobs/6297179,https://news.ycombinator.com/item?id=47977223,kflansburg,https://news.ycombinator.com/user?id=kflansburg,"Cloudflare Workers AI — formerly Rust @ Apple. kflansburg.com","Full AI stack work — speculative decoding, tensor compression, Agents SDK, agent memory, edge inference at massive scale."
Higharc,ML Engineer (Labs team),Remote,Remote,Not stated,hn@pcmaffey.com,https://higharc.com,https://news.ycombinator.com/item?id=47979818,pcmaffey,https://news.ycombinator.com/user?id=pcmaffey,"pcmaffey.com — hn@pcmaffey.com","Homebuilder design/sales/construction platform. New Labs team expanding platform with ML-powered tools."
Ping Data Intelligence,Senior ML Engineer,Remote,"Remote or Miami, FL",Not stated,jobs@pingintel.com,https://www.pingintel.com,https://news.ycombinator.com/item?id=47979455,misiti3780,https://news.ycombinator.com/user?id=misiti3780,No profile info,"Property insurance disruption. Building ML models for property attribute classification."
Innolitics,Medical Device AI/ML Engineer,Remote,Remote (US only),$120K–$150K + benefits,jdgiese@innolitics.com,https://innolitics.com/join/medical-device-ai-ml-engineer/,https://news.ycombinator.com/item?id=47977826,jdgiese,https://news.ycombinator.com/user?id=jdgiese,"Jason Giese, CEO & Co-Founder — jdgiese@innolitics.com","Helps companies build and FDA-clear healthcare AI. 3+ yrs AI/ML dev required. Regulatory pathway work included."
